,,id,overload_min,overload_max,over_speed_min,over_speed_max,at_night_min,at_night_max,other_place_min,other_place_max,high_speed_dis_min,high_speed_dis_max,high_speed_time_min,high_speed_time_max,dis_avg_min,dis_avg_max,score
232,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,15,25.0,64,72.0,49
233,0,1.0,20,140.0,15,140.0,0,1.0,4000,10000.0,45,80.0,35,45.0,72,84.0,44
234,0,1.0,12,20.0,15,140.0,0,1.0,4000,10000.0,45,80.0,45,55.0,72,84.0,41
235,0,1.0,1,12.0,0,1.0,0,1.0,1200,2400.0,10,20.0,15,25.0,72,84.0,21
236,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,45,55.0,56,64.0,43
237,0,1.0,0,1.0,0,1.0,0,1.0,0,600.0,0,10.0,25,35.0,0,56.0,49
238,0,1.0,0,1.0,15,84.0,1,10.0,4000,10000.0,80,140.0,25,35.0,56,64.0,66
239,0,1.0,0,1.0,0,1.0,0,1.0,1200,2400.0,10,20.0,120,98.0,72,84.0,64
240,0,1.0,12,20.0,15,20.0,20,20.0,10000,20.0,140,20.0,120,20.0,72,84.0,9
241,0,1.0,0,1.0,0,1.0,0,1.0,1200,2400.0,30,45.0,55,75.0,64,72.0,28
242,0,1.0,1,12.0,15,20.0,0,1.0,4000,10000.0,80,140.0,55,75.0,72,84.0,41
243,0,1.0,1,12.0,0,1.0,0,1.0,0,600.0,0,10.0,25,35.0,84,15.0,56
244,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,55,75.0,56,64.0,47
245,0,1.0,1,12.0,1,5.0,0,1.0,1200,2400.0,10,20.0,75,120.0,72,84.0,61
246,0,1.0,1,12.0,0,1.0,0,1.0,0,600.0,0,10.0,45,55.0,84,20.0,31
247,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,55,75.0,72,84.0,80
248,0,1.0,1,12.0,1,5.0,0,1.0,0,600.0,0,10.0,25,35.0,84,10000.0,62
249,0,1.0,1,12.0,15,140.0,1,10.0,4000,10000.0,80,140.0,35,45.0,64,72.0,45
250,0,1.0,0,1.0,1,5.0,0,1.0,0,600.0,0,10.0,75,120.0,72,84.0,80
251,0,1.0,1,12.0,15,120.0,0,1.0,4000,10000.0,45,80.0,45,55.0,64,72.0,52
252,0,1.0,0,1.0,1,5.0,1,10.0,0,600.0,0,10.0,35,45.0,56,64.0,44
253,0,1.0,1,12.0,1,5.0,0,1.0,1200,2400.0,20,30.0,55,75.0,72,84.0,61
