车辆id,年超载行驶次数范围,年超速行驶次数范围,年夜晚行驶次数范围,年异地行驶次数范围,年高速总里程范围,年高速行驶时间范围,平均单次出行里程范围,平均行驶速度范围,安全评分
226,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[84, inf)",62
227,"[0, 1)","[20, inf)","[15, inf)","[1, 10)","[10000, inf)","[140, inf)","[45, 55)","[56, 64)",26
228,"[0, 1)","[20, inf)","[1, 5)","[0, 1)","[4000, 10000)","[45, 80)","[25, 35)","[72, 84)",29
229,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",55
230,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[15, 25)","[72, 84)",61
231,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[55, 75)","[0, 56)",80
232,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",58
233,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[64, 72)",49
234,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[4000, 10000)","[45, 80)","[35, 45)","[72, 84)",44
235,"[0, 1)","[12, 20)","[15, inf)","[0, 1)","[4000, 10000)","[45, 80)","[45, 55)","[72, 84)",41
236,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[1200, 2400)","[10, 20)","[15, 25)","[72, 84)",21
237,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[56, 64)",43
238,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[0, 56)",49
239,"[0, 1)","[0, 1)","[15, inf)","[1, 10)","[4000, 10000)","[80, 140)","[25, 35)","[56, 64)",66
240,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[1200, 2400)","[10, 20)","[120, inf)","[72, 84)",64
241,"[0, 1)","[12, 20)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[72, 84)",9
242,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[1200, 2400)","[30, 45)","[55, 75)","[64, 72)",28
243,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[55, 75)","[72, 84)",41
244,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[84, inf)",56
245,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[56, 64)",47
246,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[10, 20)","[75, 120)","[72, 84)",61
247,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[84, inf)",31
248,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",80
249,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[84, inf)",62
250,"[0, 1)","[1, 12)","[15, inf)","[1, 10)","[4000, 10000)","[80, 140)","[35, 45)","[64, 72)",45
251,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",80
252,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[4000, 10000)","[45, 80)","[45, 55)","[64, 72)",52
253,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[35, 45)","[56, 64)",44
254,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[55, 75)","[72, 84)",61
255,"[0, 1)","[1, 12)","[1, 5)","[20, inf)","[4000, 10000)","[45, 80)","[120, inf)","[84, inf)",44
256,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[56, 64)",79
257,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",90
258,"[0, 1)","[12, 20)","[1, 5)","[0, 1)","[2400, 4000)","[30, 45)","[75, 120)","[84, inf)",50
259,"[0, 1)","[0, 1)","[5, 15)","[1, 10)","[10000, inf)","[140, inf)","[120, inf)","[56, 64)",28
260,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[0, 10)","[55, 75)","[72, 84)",54
261,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",47
262,"[0, 1)","[1, 12)","[5, 15)","[20, inf)","[2400, 4000)","[30, 45)","[75, 120)","[72, 84)",55
263,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",81
264,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[64, 72)",33
265,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[4000, 10000)","[45, 80)","[120, inf)","[64, 72)",46
266,"[0, 1)","[0, 1)","[0, 1)","[20, inf)","[0, 600)","[0, 10)","[0, 15)","[56, 64)",37
267,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[120, inf)","[84, inf)",34
268,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",54
269,"[0, 1)","[1, 12)","[15, inf)","[1, 10)","[10000, inf)","[140, inf)","[75, 120)","[64, 72)",6
270,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[35, 45)","[64, 72)",90
271,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[75, 120)","[72, 84)",37
272,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[2400, 4000)","[20, 30)","[120, inf)","[72, 84)",48
273,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[56, 64)",90
274,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[45, 55)","[64, 72)",35
275,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[1200, 2400)","[20, 30)","[75, 120)","[72, 84)",41
276,"[0, 1)","[1, 12)","[0, 1)","[1, 10)","[2400, 4000)","[45, 80)","[120, inf)","[84, inf)",39
277,"[0, 1)","[0, 1)","[5, 15)","[1, 10)","[4000, 10000)","[80, 140)","[120, inf)","[64, 72)",17
278,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",64
279,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[120, inf)","[56, 64)",10
280,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[4000, 10000)","[80, 140)","[55, 75)","[72, 84)",10
281,"[0, 1)","[12, 20)","[1, 5)","[0, 1)","[1200, 2400)","[10, 20)","[25, 35)","[72, 84)",63
282,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",48
283,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",62
284,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[64, 72)",48
285,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[0, 56)",47
286,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[0, 10)","[55, 75)","[84, inf)",57
287,"[0, 1)","[20, inf)","[5, 15)","[0, 1)","[4000, 10000)","[80, 140)","[15, 25)","[72, 84)",34
288,"[0, 1)","[0, 1)","[15, inf)","[20, inf)","[2400, 4000)","[140, inf)","[35, 45)","[0, 56)",25
289,"[0, 1)","[0, 1)","[5, 15)","[1, 10)","[4000, 10000)","[140, inf)","[35, 45)","[56, 64)",56
290,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[0, 56)",55
291,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[2400, 4000)","[45, 80)","[120, inf)","[0, 56)",59
292,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[25, 35)","[64, 72)",92
293,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",43
294,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",23
295,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[56, 64)",97
296,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[75, 120)","[84, inf)",36
297,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[64, 72)",80
298,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[2400, 4000)","[30, 45)","[55, 75)","[72, 84)",58
299,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",48
300,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[4000, 10000)","[45, 80)","[55, 75)","[72, 84)",44
301,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",55
302,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",47
303,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",82
304,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",43
305,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[75, 120)","[84, inf)",37
306,"[0, 1)","[20, inf)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[84, inf)",12
307,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",81
308,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[10, 20)","[35, 45)","[0, 56)",86
309,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",83
310,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[2400, 4000)","[45, 80)","[25, 35)","[56, 64)",39
311,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[0, 10)","[45, 55)","[56, 64)",55
312,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[1200, 2400)","[20, 30)","[120, inf)","[72, 84)",57
313,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",80
314,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",59
315,"[0, 1)","[12, 20)","[5, 15)","[0, 1)","[4000, 10000)","[45, 80)","[75, 120)","[72, 84)",42
316,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[120, inf)","[64, 72)",62
317,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",90
318,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[75, 120)","[64, 72)",47
319,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[15, 25)","[64, 72)",93
320,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",86
321,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[15, 25)","[64, 72)",46
322,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[4000, 10000)","[45, 80)","[55, 75)","[72, 84)",30
323,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",82
324,"[0, 1)","[1, 12)","[0, 1)","[1, 10)","[1200, 2400)","[30, 45)","[120, inf)","[72, 84)",18
325,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",67
326,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",45
327,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[4000, 10000)","[45, 80)","[120, inf)","[64, 72)",38
328,"[0, 1)","[0, 1)","[5, 15)","[1, 10)","[2400, 4000)","[30, 45)","[75, 120)","[64, 72)",25
329,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[2400, 4000)","[45, 80)","[75, 120)","[64, 72)",72
330,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[600, 1200)","[0, 10)","[15, 25)","[72, 84)",92
331,"[1, 10)","[1, 12)","[15, inf)","[1, 10)","[10000, inf)","[140, inf)","[75, 120)","[56, 64)",6
332,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[84, inf)",62
333,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[56, 64)",80
334,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[35, 45)","[72, 84)",64
335,"[0, 1)","[0, 1)","[15, inf)","[1, 10)","[600, 1200)","[10, 20)","[0, 15)","[0, 56)",93
336,"[0, 1)","[0, 1)","[5, 15)","[10, 20)","[4000, 10000)","[140, inf)","[120, inf)","[56, 64)",33
337,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[10, 20)","[55, 75)","[72, 84)",55
338,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",62
339,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[1200, 2400)","[20, 30)","[120, inf)","[72, 84)",43
340,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[64, 72)",40
341,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[0, 56)",49
342,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[75, 120)","[72, 84)",28
343,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[4000, 10000)","[45, 80)","[75, 120)","[72, 84)",32
344,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[600, 1200)","[10, 20)","[75, 120)","[72, 84)",73
345,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[35, 45)","[72, 84)",63
346,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[0, 10)","[25, 35)","[72, 84)",57
347,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[0, 15)","[0, 56)",46
348,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[600, 1200)","[10, 20)","[75, 120)","[72, 84)",75
349,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[2400, 4000)","[30, 45)","[75, 120)","[72, 84)",57
350,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[4000, 10000)","[140, inf)","[15, 25)","[56, 64)",52
351,"[0, 1)","[1, 12)","[1, 5)","[10, 20)","[600, 1200)","[10, 20)","[55, 75)","[72, 84)",21
352,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",62
353,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[55, 75)","[84, inf)",12
354,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",48
355,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[1200, 2400)","[10, 20)","[75, 120)","[72, 84)",76
356,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[45, 55)","[56, 64)",18
357,"[1, 10)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[56, 64)",7
358,"[0, 1)","[12, 20)","[15, inf)","[1, 10)","[4000, 10000)","[45, 80)","[45, 55)","[72, 84)",32
359,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",65
360,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[25, 35)","[72, 84)",64
361,"[1, 10)","[1, 12)","[5, 15)","[20, inf)","[4000, 10000)","[45, 80)","[55, 75)","[0, 56)",22
362,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",81
363,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[0, 56)",81
364,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",44
365,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",43
366,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",47
367,"[0, 1)","[20, inf)","[15, inf)","[1, 10)","[2400, 4000)","[30, 45)","[35, 45)","[84, inf)",10
368,"[0, 1)","[1, 12)","[15, inf)","[1, 10)","[2400, 4000)","[45, 80)","[45, 55)","[72, 84)",48
369,"[0, 1)","[20, inf)","[5, 15)","[20, inf)","[2400, 4000)","[30, 45)","[75, 120)","[84, inf)",43
370,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[600, 1200)","[0, 10)","[75, 120)","[84, inf)",53
371,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",49
372,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",81
373,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[56, 64)",78
374,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",82
375,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[120, inf)","[72, 84)",9
376,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",84
377,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",75
378,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[15, 25)","[84, inf)",90
379,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[64, 72)",55
380,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",79
381,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[2400, 4000)","[45, 80)","[35, 45)","[64, 72)",51
382,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[0, 56)",48
383,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[1200, 2400)","[10, 20)","[120, inf)","[84, inf)",22
384,"[0, 1)","[1, 12)","[15, inf)","[10, 20)","[4000, 10000)","[80, 140)","[120, inf)","[64, 72)",10
385,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",81
386,"[0, 1)","[1, 12)","[0, 1)","[1, 10)","[600, 1200)","[0, 10)","[120, inf)","[84, inf)",52
387,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[600, 1200)","[10, 20)","[45, 55)","[64, 72)",34
388,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",38
389,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",73
390,"[0, 1)","[0, 1)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[72, 84)",12
391,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",76
392,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[55, 75)","[64, 72)",35
393,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",95
394,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[84, inf)",56
395,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[20, 30)","[120, inf)","[64, 72)",22
396,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",85
397,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[56, 64)",78
398,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",35
399,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",35
400,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[2400, 4000)","[30, 45)","[75, 120)","[72, 84)",56
401,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",95
402,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",84
403,"[1, 10)","[20, inf)","[15, inf)","[1, 10)","[10000, inf)","[140, inf)","[35, 45)","[64, 72)",8
404,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[0, 10)","[75, 120)","[84, inf)",53
405,"[0, 1)","[12, 20)","[5, 15)","[1, 10)","[4000, 10000)","[80, 140)","[120, inf)","[72, 84)",35
406,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",81
407,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[45, 55)","[72, 84)",16
408,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[1200, 2400)","[10, 20)","[120, inf)","[72, 84)",73
409,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[1200, 2400)","[20, 30)","[120, inf)","[84, inf)",47
410,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[55, 75)","[72, 84)",56
411,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",91
412,"[0, 1)","[12, 20)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[15, 25)","[64, 72)",26
413,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[10, 20)","[75, 120)","[64, 72)",22
414,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[600, 1200)","[10, 20)","[45, 55)","[0, 56)",34
415,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[35, 45)","[72, 84)",34
416,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[2400, 4000)","[30, 45)","[25, 35)","[72, 84)",14
417,"[0, 1)","[20, inf)","[15, inf)","[20, inf)","[4000, 10000)","[45, 80)","[120, inf)","[84, inf)",25
418,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[1200, 2400)","[20, 30)","[35, 45)","[64, 72)",60
419,"[0, 1)","[1, 12)","[5, 15)","[20, inf)","[1200, 2400)","[30, 45)","[45, 55)","[64, 72)",60
420,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",55
421,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",35
422,"[0, 1)","[1, 12)","[5, 15)","[20, inf)","[2400, 4000)","[140, inf)","[25, 35)","[64, 72)",55
423,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[15, 25)","[64, 72)",34
424,"[0, 1)","[20, inf)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[84, inf)",13
425,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[600, 1200)","[0, 10)","[120, inf)","[72, 84)",65
426,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[64, 72)",65
427,"[0, 1)","[12, 20)","[5, 15)","[0, 1)","[4000, 10000)","[45, 80)","[75, 120)","[72, 84)",37
428,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[15, 25)","[56, 64)",70
429,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[84, inf)",55
430,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",75
431,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[30, 45)","[55, 75)","[64, 72)",17
432,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[120, inf)","[84, inf)",22
433,"[0, 1)","[20, inf)","[15, inf)","[1, 10)","[4000, 10000)","[45, 80)","[55, 75)","[84, inf)",29
434,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[25, 35)","[64, 72)",24
435,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[0, 10)","[45, 55)","[64, 72)",54
436,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[0, 56)",78
437,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[84, inf)",56
438,"[0, 1)","[20, inf)","[15, inf)","[10, 20)","[4000, 10000)","[80, 140)","[75, 120)","[72, 84)",31
439,"[0, 1)","[12, 20)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[55, 75)","[72, 84)",8
440,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[4000, 10000)","[140, inf)","[25, 35)","[0, 56)",41
441,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[64, 72)",35
442,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[45, 55)","[56, 64)",83
443,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[64, 72)",44
444,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",72
445,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[30, 45)","[75, 120)","[56, 64)",56
446,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",83
447,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[45, 55)","[84, inf)",63
448,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[0, 10)","[75, 120)","[72, 84)",23
449,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[25, 35)","[72, 84)",49
