车辆id,年超载行驶次数范围,年超速行驶次数范围,年夜晚行驶次数范围,年异地行驶次数范围,年高速总里程范围,年高速行驶时间范围,平均单次出行里程范围,平均行驶速度范围,安全评分
5057,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[120, inf)","[72, 84)",68
5058,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[4000, 10000)","[45, 80)","[120, inf)","[72, 84)",10
5059,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",82
5060,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[2400, 4000)","[30, 45)","[120, inf)","[84, inf)",13
5061,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[1200, 2400)","[20, 30)","[15, 25)","[72, 84)",64
5062,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",76
5063,"[0, 1)","[1, 12)","[5, 15)","[10, 20)","[4000, 10000)","[80, 140)","[120, inf)","[72, 84)",29
5064,"[0, 1)","[12, 20)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[84, inf)",56
5065,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",81
5066,"[0, 1)","[1, 12)","[1, 5)","[10, 20)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",51
5067,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[55, 75)","[64, 72)",50
5068,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[84, inf)",59
5069,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[2400, 4000)","[45, 80)","[120, inf)","[0, 56)",24
5070,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",84
5071,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",82
5072,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[120, inf)","[64, 72)",70
5073,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[4000, 10000)","[80, 140)","[45, 55)","[72, 84)",45
5074,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",29
5075,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[600, 1200)","[10, 20)","[45, 55)","[72, 84)",33
5076,"[0, 1)","[1, 12)","[5, 15)","[10, 20)","[2400, 4000)","[30, 45)","[55, 75)","[72, 84)",34
5077,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",55
5078,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",48
5079,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[56, 64)",68
5080,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[84, inf)",60
5081,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",56
